date,temp_min,temp_max,temp_avg,humidity_avg,description
2025-12-03,6.9,6.9,6.9,91.0,broken clouds
2025-12-04,5.3,8.2,7.0,82.6,light rain
2025-12-05,3.5,8.0,5.6,79.4,clear sky
2025-12-06,8.8,10.7,9.8,78.6,light rain
2025-12-07,8.8,13.0,11.1,92.5,light rain
2025-12-08,9.9,12.6,11.6,88.0,overcast clouds
